Compound,Number Passed,042111_08_01(raw),042111_08_02(raw),042111_08_03(raw),042111_09_01(raw),042111_09_02(raw),042111_09_03(raw),042111_10_01(raw),042111_10_02(raw),042111_10_03(raw),042111_11_01(raw),042111_11_02(raw),042111_11_03(raw),042111_12_01(raw),042111_12_02(raw),042111_12_03(raw),042111_13_01(raw),042111_13_02(raw),042111_13_03(raw),042111_14_01(raw),042111_14_02(raw),042111_14_03(raw),042111_15_01(raw),042111_15_02(raw),042111_15_03(raw),042111_16_01(raw),042111_16_02(raw),042111_16_03(raw),042111_17_01(raw),042111_17_02(raw),042111_17_03(raw),042111_19_01(raw),042111_19_02(raw),042111_19_03(raw),042111_20_01(raw),042111_20_02(raw),042111_20_03(raw),Annotations,Mass,Retention Time,CAS Number
2637.7942@13.772834,1,53813,1,1,365331,1,1,56830,74074,499370,54320,94277,1,1,396252,374544,1,1,339215,360092,141592,118862,432958,363743,358459,392112,350106,413168,384884,1,1,424069,1,113452,432020,1,373277,,2637.7942,13.772834,
1046.7288@13.771727,1,645446,3.24E+07,470744,5.37E+07,304983,778611,618221,1206810,6.31E+07,586280,1,160832,6.73E+07,6.94E+07,7.33E+07,4.97E+07,5.50E+07,5.99E+07,5.83E+07,3960929,1,7.55E+07,6.18E+07,6.33E+07,6.39E+07,4.06E+07,5.30E+07,4.55E+07,4.59E+07,3.93E+07,5.27E+07,4.36E+07,1,5.49E+07,5.52E+07,6.29E+07,,1046.7288,13.771727,
171.108@13.797971,1,573820,86400,285610,197315,952000,1496164,421079,345462,284352,380362,312558,552306,590123,205717,614668,161097,95181,217570,246557,449321,2598315,433492,181204,190328,167266,123639,267573,509747,1,342907,101749,166100,916872,153697,221272,167243,,171.108,13.797971,
1366.8785@13.790698,1,300104,77965,39963,88594,41866,43079,75933,1,130862,103652,88811,59828,1,122023,121844,1,152956,132730,165891,115950,85770,187762,1,174188,178708,132990,146586,122418,136229,68957,1,137492,86041,1,195861,176100,,1366.8785,13.790698,
398.1857@13.79976,1,458632,64934,185831,136046,723888,1020550,297611,235152,128878,255120,1,397034,365595,1,1,1,1,131009,1,1,1,246115,1,113645,98319,72634,134452,302506,1,130469,53396,1,533434,58300,119768,80494,,398.1857,13.79976,
2131.4026@13.776884,1,97399,1570536,44624,1875845,34981,102550,73421,157204,1654076,71945,264148,1,1723309,1622837,1850387,1664239,1557916,1543043,2064774,408901,315579,1575927,1691133,1555326,1832622,1714718,1664906,1808865,1712387,1522744,1729560,1683432,250806,1665956,1734442,1749138,,2131.4026,13.776884,
"Anandamide (18:3, n-6)",1,388532,109449,323449,70245,401559,288686,353240,298282,79094,308216,209552,331124,46983,48964,47888,40814,39533,36934,59522,244840,248105,57270,55733,54286,83545,94874,100008,86181,93551,170683,76433,83851,317030,82579,53409,59343,"Anandamide (18:3, n-6) [ C20 H35 N O2, db=98.53, overall=49.26, Lipid ID=LMFA08040003, KEGG ID= ]",321.2667,13.802221,
1378.9491@13.801964,1,203849,88429,181659,1,193944,171506,215063,224890,115782,234915,175059,229124,32282,61311,63486,68349,1,71126,67493,241964,1,90125,87055,99726,1,85781,1,1,90593,1,98883,1,424744,1,125196,124373,,1378.9491,13.801964,
1410.9069@13.799668,1,284577,153283,176678,57037,54517,159476,225570,224099,1,82977,102038,230073,76036,1,1,1,84902,101721,66043,102050,101146,1,108677,1,1,175971,1,141322,1,73395,1,1,83346,1,161170,83862,,1410.9069,13.799668,
3a-OH Desogestrel,1,526063,149518,452854,79303,557726,413458,528843,426155,87978,426055,292689,470350,69777,67943,61611,65694,67782,52322,92795,311849,281992,86470,86354,76621,115112,123243,119148,119504,130991,124963,102662,101745,314494,70522,86312,72287,"3a-OH Desogestrel [ C22 H30 O2, db=65.76, overall=32.88, KEGG ID=, CAS ID=70805-84-4 ]",326.2219,13.802333,70805-84-4
495.3673@13.825147,1,202120,631729,184941,331556,178381,220753,210602,127224,478948,130134,172451,1,293127,336656,392416,234949,366065,317948,366362,202037,110799,387385,243149,272075,354346,268333,438195,404488,489081,458891,502774,283528,132298,1,162573,265458,,495.3673,13.825147,
1405.9486@13.799881,1,371736,186915,268721,67743,68764,281765,337223,310055,1,372255,412164,30608,145791,61458,155643,165331,54604,170479,243132,378467,419521,278778,133834,252536,138103,235016,114222,192641,103398,203791,1,248386,499849,147800,159389,292622,,1405.9486,13.799881,
"Anandamide (20:5, n-3)",1,346470,101976,335117,53147,323622,233537,328611,254250,126135,235600,141935,232974,1,45422,29955,45802,59090,47224,1,225057,213233,89130,1,60567,92685,82959,107041,149907,105669,192718,146454,172796,548955,97558,61683,81432,"Anandamide (20:5, n-3) [ C22 H35 N O2, db=85.48, overall=42.74, Lipid ID=LMFA08040008, KEGG ID= ]",345.2666,13.810092,
"3,9,15-Docosatriynoic acid",1,655133,207297,596853,103987,599586,465279,612235,492036,107537,436811,301970,461884,71893,60150,74657,45996,92067,86714,115963,390598,380704,108188,95964,98351,1,148216,142544,171870,220825,192918,293377,300231,754472,102366,51501,1,"3,9,15-Docosatriynoic acid [ C22 H32 O2, db=84.46, overall=42.23, Lipid ID=, KEGG ID= ]",328.2401,13.805646,
1422.9753@13.803818,1,159558,81444,1,47851,152981,134198,172153,161187,82812,21743,174134,1,40761,48706,39928,59499,44364,51540,81132,183985,251413,90808,74411,1,69437,97702,114420,64429,65049,169386,102482,99644,318560,194822,111917,114171,,1422.9753,13.803818,
1330.8604@13.71827,1,35822,56955,1,92581,1,1,1,28262,72561,37043,1,1,102084,99715,92471,88576,89780,92556,86611,1,18100,90460,88898,95291,90934,91729,1,69040,90472,55882,1,63215,1,76063,102371,91191,,1330.8604,13.71827,
1454.929@13.805271,1,79109,55555,1,64021,1,1,31257,32094,48990,40946,190261,30476,52285,53813,52317,53496,49506,46735,79681,170716,50744,113235,139639,81703,101230,81941,131902,52979,66207,37899,155053,75343,59795,124972,176343,138400,,1454.929,13.805271,
536.5281@13.803085,1,97000,23470,82825,1,83776,83842,74306,56423,1,107634,118838,121269,32708,24221,47718,57078,49871,38121,18666,93076,83927,33867,32267,55151,1,1,1,1,1,1,1,1,43508,16778,1,1,,536.5281,13.803085,
587.4892@13.8079605,1,23490,20371,51594,6085,13728,15447,17201,16852,10196,15636,18341,39393,19537,26605,1,20059,27821,1,27427,20491,11213,23905,18964,19745,1,1,10305,1,10123,11907,1,1,1,1,1,1,,587.4892,13.8079605,
1449.9736@13.80397,1,271434,68507,226978,117754,65456,44492,293772,251700,83893,60204,258091,283654,1,54052,76782,143478,1,130736,183788,281921,309932,233436,91135,100385,1,192122,86988,150618,64910,43922,208064,87343,90184,100405,241842,238467,,1449.9736,13.80397,
341.3044@13.817472,1,1636456,1292463,3522978,665480,3175638,3229887,1969767,2489792,795048,3221038,4059952,4179864,2106486,2233161,2948789,2142863,2515782,3474703,2521379,4604733,3882608,2351690,3078382,3219859,1381666,1808943,1584185,1605490,1582245,1686168,791799,1431581,2334791,1281776,1148071,1212036,,341.3044,13.817472,
354.3241@13.811501,1,26655,1,30221,1,1,33368,19278,26138,1,37933,59034,47193,30167,41067,46996,1,44417,65271,42088,48740,54964,30411,45980,1,1,18052,1,9014,14417,22586,1,1,28285,19642,1,1,,354.3241,13.811501,
Oleamide,1,1.32E+07,1.34E+07,1.29E+07,1.16E+07,2.62E+07,2.49E+07,2.45E+07,1.12E+07,8087623,3.84E+07,2.54E+07,3.81E+07,2.48E+07,2.82E+07,4.20E+07,2.97E+07,2.65E+07,3.31E+07,3.13E+07,4.81E+07,3.58E+07,1.97E+07,2.87E+07,2.81E+07,1.04E+07,9871234,9818127,1.33E+07,1.08E+07,1.64E+07,8588293,1.01E+07,1.82E+07,1.14E+07,7873058,9791354,"Oleamide [ C18 H35 N O, db=95.12, overall=47.56, KEGG ID=, CAS ID=301-02-0 ]",281.2712,13.812444,301-02-0
1467.0009@13.8062,1,133369,81853,15105,66909,1,106486,37692,160908,1,150345,149296,174444,51847,52357,1,1,57497,65771,85284,173222,218124,86119,1,1,1,1,90013,83757,1,150298,1,111674,285134,1,118818,119847,,1467.0009,13.8062,
312.3138@13.81286,1,70378,35031,104903,26571,73726,65566,66146,66888,1,130391,93928,97268,77096,84085,85492,127960,108508,110345,95025,138355,108352,84798,116147,136433,21439,38855,21809,30885,27421,45524,15102,25254,55572,46728,30775,30445,,312.3138,13.81286,
841.5513@13.813585,1,322966,500405,270512,710976,312312,435459,326251,323256,405321,334687,520346,231529,1,455394,1,1,484574,1,1,369275,1,448655,470424,1,448483,469163,443471,657476,624715,426237,691076,636781,645416,309562,482315,322147,,841.5513,13.813585,
401.3155@13.8185835,1,111530,1,1,51717,129449,1,1,1,1,168952,142097,151412,112318,131033,126431,152661,137647,169569,109852,167914,142858,89011,119053,128101,1,70872,1,67885,45026,1,1,62061,1,1,56062,54574,,401.3155,13.8185835,
326.3296@13.8149185,1,209996,121944,311509,129894,283788,266718,260912,275741,150372,369840,396601,354909,331810,426268,406158,487854,418364,501815,393845,518111,435499,338516,466938,431555,135316,218510,167566,181481,202720,537821,74463,187832,303298,371206,133321,192683,,326.3296,13.8149185,
856.5198@13.818584,1,79388,42464,56920,181317,44635,94110,78339,95153,90022,90813,119937,1,93293,107783,1,1,1,66753,1,55900,51669,1,1,72251,113876,136127,99461,178594,146049,104043,149749,138046,58011,100860,100252,88824,,856.5198,13.818584,
1511.0262@13.81507,1,108233,69831,1,1,112358,84877,125612,127658,69112,37269,94613,150211,1,44477,1,55567,49565,49646,69711,128226,171706,79595,67480,70836,75453,80738,75637,1,66607,120024,82660,91749,1,1,106129,91113,,1511.0262,13.81507,
fluorometholone,1,369350,1,16389,19036,566088,543750,35785,24638,175214,29407,238895,63236,116807,145688,438975,1,63431,139647,180549,306443,2007325,160841,120339,18517,173782,11296,219894,355106,80051,261569,1,116182,514617,33420,152405,22079,"fluorometholone [ C22 H29 F O4, db=59.20, overall=29.60, KEGG ID=, CAS ID=426-13-1 ]",376.2038,13.804546,426-13-1
887.643@13.824824,1,28452,174033,1,342384,14661,25098,16071,19055,234185,25351,71250,1,198465,197814,196621,154765,173255,180640,148131,21004,32528,196956,177290,176503,286059,206131,251074,293046,280136,280081,350854,333486,109679,161584,141525,164910,,887.643,13.824824,
6-[3]-ladderane-1-hexanol + 13.822443,1,94980,64754,81942,100744,145488,130079,110364,97450,73500,124314,117387,126440,56135,59541,56945,62653,57715,48490,47859,65847,68416,71664,52664,41278,72647,77733,76346,107204,114469,117443,139544,141099,163479,43478,48187,43278,"6-[3]-ladderane-1-hexanol [ C18 H30 O, db=86.48, overall=43.24, Lipid ID=, KEGG ID= ]",262.2296,13.822443,
1555.054@13.823677,1,81765,48112,78459,33440,66784,67152,65537,65238,42472,75834,1,91225,1,30926,49251,38472,36579,36875,48282,98744,120781,70129,51657,59084,1,1,71360,56483,54942,1,70709,68933,189927,117019,75097,76640,,1555.054,13.823677,
1599.0771@13.82784,1,73592,1,54791,33336,76481,36350,42788,72453,51186,45946,60432,70661,1,36496,33924,35785,1,45285,45826,98700,1,51513,53160,51959,44966,54058,61467,43627,43331,79428,63058,1,141233,103262,67615,67605,,1599.0771,13.82784,
Thr His His,1,142664,61804,84255,107426,149818,111141,144195,90988,37830,150123,97028,103112,1,44289,1,49582,38505,29766,1,61517,1,1,33698,27561,50667,58107,39255,80474,70636,58187,101418,92589,95998,33253,34963,27695,"Thr His His [ C16 H23 N7 O5, db=62.69, overall=31.35 ]",393.1754,13.824646,
"13E,17-octadecadienoic acid",1,1568048,571100,734828,1358173,1331327,1158428,1823767,1619483,889243,2089682,1831885,2177036,1,745312,1,664932,670501,445048,1,1,956342,1,562444,553210,588838,949928,580980,880525,1604933,1436945,1828177,1750634,1498629,330552,560542,516724,"13E,17-octadecadienoic acid [ C18 H32 O2, db=84.73, overall=42.36, Lipid ID=, KEGG ID= ]",280.2402,13.821678,
404.272@13.831084,1,39448,1,30762,1,37861,44340,32156,31322,24789,41909,36713,17746,38300,1,34327,38465,31741,1,1,1,1,23648,1,28114,26360,35827,1,37152,25985,1,20880,27529,39741,1,28475,1,,404.272,13.831084,
318.1871@13.828527,1,107146,52742,92915,61292,151023,132452,116030,103157,38672,120586,109099,136071,39620,34107,31902,36465,34566,34390,32165,69710,62775,33730,33705,27957,47776,49572,41368,71304,61526,61426,75004,75663,125510,23633,30047,24730,,318.1871,13.828527,
336.1598@13.82475,1,319586,145973,206626,206668,360473,308478,324797,248597,101022,363196,271286,282770,93684,89565,69104,109078,86665,71595,91893,155677,146803,76153,75403,60996,121415,125132,94881,196493,178962,143555,214135,178237,275023,72272,74316,62908,,336.1598,13.82475,
742.5544@13.829965,1,13666,40255,1,100540,16944,26388,1,1,1,1,25138,1,63849,62313,61972,57906,63529,70798,43420,10602,16366,62322,57676,61823,71761,114321,61723,59237,56235,1,53477,56403,23834,43774,33410,37559,,742.5544,13.829965,
"9,12-octadecadienal",1,71879,128819,86578,176850,66518,86270,69683,75132,142625,88401,126665,83172,198686,195622,186114,182190,184841,203170,172816,101739,90296,184939,161291,176722,181622,121063,166788,154162,122747,155487,113502,127753,81603,185140,122742,153818,"9,12-octadecadienal [ C18 H32 O, db=93.91, overall=46.95, Lipid ID=, KEGG ID= ]",264.2449,13.830167,
362.2315@13.826858,1,62069,33656,45948,38186,83797,60202,65181,66402,21338,95536,40280,49869,20782,15607,1,1,1,1,49609,33768,43406,1,17708,1,18011,1,46462,76442,39842,29757,44039,42995,62258,1,19518,10398,,362.2315,13.826858,
637.5649@13.826834,1,52909,185236,44581,264206,35096,60495,52967,55052,195196,67325,92064,29305,576732,559228,556460,511342,527196,574098,475626,82100,82305,586508,546633,553730,263636,213504,205449,207096,147331,206334,117474,131966,48313,295069,195489,231922,,637.5649,13.826834,
1604.0345@13.831274,1,101393,76709,1,43009,82653,77432,90651,83351,56917,1,87207,102552,52063,50583,44775,61545,39794,58329,69140,125117,126234,75667,60422,77877,67644,84431,63421,44835,59219,61203,83738,1,136760,87378,91075,91158,,1604.0345,13.831274,
917.6042@13.830849,1,43296,224344,45643,323064,1,54510,1,35415,272948,27018,54331,1,294116,296145,279221,245526,280189,248171,253997,46552,52034,279427,280672,268350,360079,244242,306027,243616,208105,152087,195697,174257,38381,238279,265289,285874,,917.6042,13.830849,
18-acetoxy-PGF2alpha-11-acetate,1,47678,128305,31746,193219,33935,66885,37918,36087,154982,37411,42423,15684,200347,186023,185871,158478,176269,177736,167461,36833,53683,187044,191330,184530,211293,153268,172306,139848,90904,92864,102930,86687,21154,167902,151353,171981,"18-acetoxy-PGF2alpha-11-acetate [ C24 H38 O8, db=67.62, overall=33.81, Lipid ID=LMFA03010098, KEGG ID= ]",454.2603,13.837749,
1643.1019@13.833906,1,56417,40836,49602,19709,61448,37917,72515,39004,35708,59721,38706,40471,29537,21520,33589,33072,21106,37433,31845,60987,95869,1,36578,41943,1,41790,38427,26362,1,63635,42996,49133,93589,78733,1,52782,,1643.1019,13.833906,
1-(11E-octadecenoyl)-rac-glycerol,1,1259706,4228408,1003786,6232105,802647,1309786,1005432,1045927,4473390,1108936,1517795,560199,6356096,5698116,6273540,4890418,5162867,5535403,4717693,1282379,1395563,1501074,5354863,5463879,7371172,4633147,6158308,4297055,3732844,3168500,3587859,3258042,903011,5332350,4790383,5012422,"1-(11E-octadecenoyl)-rac-glycerol [ C21 H40 O4, db=98.15, overall=49.07, KEGG ID=, CAS ID= ]",356.2921,13.832834,
416.3249@13.833222,1,44987,245763,53108,243362,38600,91145,42312,58124,297863,43720,65887,29889,203433,284548,262708,212529,292628,252314,194378,60469,79616,188080,240067,319646,371447,360562,439974,263899,314393,197412,256682,254932,57931,310437,338875,365139,,416.3249,13.833222,
10-methylene-octadecanoic acid,1,1093305,1572796,1618832,1155509,1,1818462,1163399,1138631,1155909,1,1422470,1657137,1371749,1703779,1331424,1229879,1530470,1400188,856681,1050387,1228644,803798,654017,834357,917489,924271,1309652,1675847,1712565,2268740,1556260,2027657,2202809,1622995,966205,1479439,"10-methylene-octadecanoic acid [ C19 H36 O2, db=78.33, overall=39.16, Lipid ID=, KEGG ID= ]",296.2716,13.837235,
595.554@13.834362,1,260705,204381,305614,115949,244810,278282,189901,197164,141715,246279,269219,295086,389500,484507,369314,401013,441573,461850,340573,344598,326774,327405,239665,338298,113181,130165,167492,187546,207885,261706,126320,182965,218431,207028,149419,184147,,595.554,13.834362,
331.3083@13.839138,1,28246,35377,29232,1,31139,35141,22946,24894,33947,22494,27969,28694,23208,32695,32811,17780,37708,1,24384,26500,26756,23928,1,1,30667,1,46037,28886,31078,45992,25965,44507,34764,1,1,28202,,331.3083,13.839138,
1648.0614@13.838582,1,83174,52828,38990,54909,54404,52238,69582,43888,31930,80662,56053,63012,62867,34506,53741,48249,1,1,56656,71473,81361,1,64806,66732,56433,67127,60361,42280,1,50481,67716,61209,81374,89261,1,77851,,1648.0614,13.838582,
2-hydroxy-nonadecanoic acid,1,881628,880125,1228886,64979,1151245,1326937,86328,732756,565606,841054,110394,1197474,1,1,683019,1,869740,783521,664108,975389,1118065,559936,443742,634901,510162,566271,789738,116857,874294,176212,668596,152521,130776,733126,667199,744071,"2-hydroxy-nonadecanoic acid [ C19 H38 O3, db=79.99, overall=40.00, Lipid ID=, KEGG ID= ]",314.2819,13.838939,
359.3394@13.840835,1,23173,47827,39990,18515,48587,45152,28329,38037,40293,35247,49247,46909,44237,62527,46161,41715,52933,44287,36019,44221,56222,25335,25624,28724,37723,25042,58657,48461,57716,153395,42182,64227,80623,101297,52484,67954,,359.3394,13.840835,
550.5438@13.840639,1,86709,44645,80336,43149,60360,112587,81423,72191,26015,147858,139508,126736,274866,244643,248143,329777,250015,279612,281584,175139,99187,189537,262548,256099,26124,48621,38477,49428,50011,68401,20216,41542,46480,47487,29060,35694,,550.5438,13.840639,
345.3232@13.839605,1,12126,14704,15277,1,19885,17082,10280,1,11922,12424,10995,14877,10812,14146,11025,1,14645,13104,9379,14602,15440,8720,1,10668,8949,1,14527,1,1,22461,1,15142,19904,19199,11820,12682,,345.3232,13.839605,
"Anandamide (20:2, n-6)",1,16305,18109,14511,19681,1,15569,24115,1,19466,16454,1,1,25632,37576,43934,54395,25394,76530,13843,23787,1,17456,29420,23376,39217,19418,19140,30589,40893,31637,47667,41464,1,65482,19159,26866,"Anandamide (20:2, n-6) [ C22 H41 N O2, db=87.77, overall=43.88, Lipid ID=LMFA08040002, KEGG ID= ]",351.3135,13.836865,
589.5048@13.843435,1,36245,83542,1,79453,1,29986,30866,31514,60982,1,50983,1,158643,151680,154047,161349,145154,163822,171058,74000,45918,162980,168985,155417,73957,78177,70388,83225,72868,80918,61835,66318,23995,79388,80181,75748,,589.5048,13.843435,
593.5384@13.859751,1,56830,34423,18791,25495,20675,21999,14494,14218,29711,26091,29495,22642,79169,95180,85994,68111,75393,87953,68380,25198,24760,79581,53726,68409,31993,22243,36548,48838,38856,63963,32809,38336,22653,36883,21638,29579,,593.5384,13.859751,
486.3916@13.846743,1,128475,46998,78143,45326,120127,246707,124713,89812,37069,111614,95165,347925,30508,30053,30767,34833,33026,23473,34434,70913,68174,1,33113,33107,36306,57722,41967,30748,35320,42030,39025,44793,134316,49372,43793,40112,,486.3916,13.846743,
269.2717@13.850058,1,176162,172749,289371,256929,397374,458062,223414,215817,259113,398242,358990,301883,331451,338989,523634,363204,321019,334297,527904,375543,386803,357444,373096,1,256458,252499,165921,173396,238033,165957,150712,277077,240981,221317,161011,200491,,269.2717,13.850058,
958.5066@13.858265,1,26176,135562,24701,190342,1,22126,23466,28037,138758,18970,26973,1,144514,137363,124932,128619,142271,141833,116267,30338,28377,149071,155023,143224,178777,139353,142552,121754,107244,83544,96380,82818,18945,152637,121721,143323,,958.5066,13.858265,
18-oxo-nonadecanoic acid + 13.867914,1,466770,693002,335141,437221,868179,1017266,178786,253701,802645,231885,336760,366835,1906850,2082022,887781,600046,813839,893657,553981,804411,383417,453346,343285,608973,635748,417303,975605,723235,790968,1967738,675993,1897641,401288,543667,463541,582073,"18-oxo-nonadecanoic acid [ C19 H36 O3, db=84.87, overall=42.44, Lipid ID=, KEGG ID= ]",312.2662,13.867914,
376.1632@13.867001,1,258693,73045,90748,170942,96874,67330,126473,231289,80257,86006,77422,70853,116108,116243,45007,145992,154087,133400,53087,65710,121903,121156,59905,138676,121772,177351,125161,171100,138947,171770,84147,152964,203387,77265,58347,65522,,376.1632,13.867001,
875.5037@13.871608,1,37771,1,24154,188625,1,26538,35186,39799,163432,28612,45447,13632,180973,169135,144601,166835,163769,1,1,58245,1,170223,169833,142592,187584,1,148959,177217,165358,139194,173367,1,41490,183532,1,148641,,875.5037,13.871608,
807.4806@13.867861,1,443956,1507583,226032,2139438,213402,272049,404568,335731,1479358,242516,367596,138728,2043708,1812596,1283124,1886857,1776858,1684725,1998772,578122,309139,2324701,1553152,1751808,2136434,1618645,1508093,1712364,1223149,828191,1623533,1221250,473039,1381732,1519795,1418921,,807.4806,13.867861,
9-heptadecylenic acid + 13.870259,1,17515,41402,18074,57138,78093,73706,1,1,39011,23439,55121,30742,1,34963,51576,32457,55517,50915,1,25596,33369,49118,52630,67091,48298,57798,51136,69214,66524,46319,49440,56751,32332,34195,37262,1,"9-heptadecylenic acid [ C17 H32 O2, db=81.99, overall=40.99, Lipid ID=LMFA01030060, KEGG ID= ]",268.2402,13.870259,
Leu Asn Asp + 13.864379,1,128257,46450,1,70158,58547,1,1,107242,62397,57534,1,1,59593,52356,44957,73032,58999,58052,57221,1,53969,72192,66224,67306,47019,67611,70906,83589,68396,1,75717,64463,80710,64041,75679,63185,"Leu Asn Asp [ C14 H24 N4 O7, db=34.15, overall=17.08 ]",360.1681,13.864379,
914.4793@13.871298,1,20977,61941,28552,1,23361,1,27526,30941,44450,1,22623,1,35194,46649,35955,1,44953,40682,48105,33419,23151,34964,31325,36907,1,32870,43239,43991,45922,41238,40518,59534,27112,43831,37343,25914,,914.4793,13.871298,
Nimodipine,1,136291,80823,127976,109470,159023,113701,132466,157847,67357,114427,106064,105024,42603,63544,55859,93306,78164,70498,52590,70973,90818,58807,80443,77301,81997,98944,47315,89276,95005,83544,101502,99701,82766,60534,91770,55565,"Nimodipine [ C21 H26 N2 O7, db=61.54, overall=30.77, KEGG ID=C07267, CAS ID=66085-59-4 ]",418.1739,13.870945,66085-59-4
662.2484@13.876678,1,99942,74376,122915,62105,101529,95704,104796,53622,63364,76839,82433,88584,1,42822,32934,50861,49069,23091,1,85347,86317,48250,48625,52009,47251,77788,63259,59525,76095,65618,67953,60758,101368,47797,63466,60375,,662.2484,13.876678,
1103.5966@13.872333,1,364906,1761646,68950,1955283,1,1,1,283072,2621431,1,356439,94964,2173514,2116380,2025536,1,2208888,1971817,1,544887,193608,2656865,2368254,2206084,1,1843243,1751305,1742730,1,1,2308704,1744764,348979,1510903,2600402,2497484,,1103.5966,13.872333,
346.1531@13.871804,1,262034,700180,487930,691236,196595,422996,786520,618246,418993,605594,452509,417937,454214,478706,407079,640429,227070,566288,214744,466036,381347,609301,613754,589279,639823,647329,498641,479451,618180,538803,638062,413236,586267,268316,727660,555459,,346.1531,13.871804,
Asp Lys Glu,1,634738,419164,442151,384305,469468,382970,552529,485401,1,424933,201069,355349,274908,266398,255121,364392,382604,351421,264892,365110,324968,321984,348372,353988,357523,415205,325921,350352,361161,369667,217168,415793,489594,258731,369916,381269,"Asp Lys Glu [ C15 H26 N4 O8, db=62.57, overall=31.29 ]",390.1788,13.869486,
1153.6309@13.874,1,62478,212897,34358,335675,1,1,1,67098,1,1,43318,28766,381036,380067,362159,345822,383044,321810,339162,66877,94915,1,384151,407434,412694,1,325860,1,314739,231385,431490,1,63705,335383,1,415043,,1153.6309,13.874,
Phe Tyr + 13.873054,1,546677,325026,307087,316025,388376,287390,524523,414741,276383,322794,256595,277930,228712,204393,184680,292501,261406,256746,267056,300004,227124,274655,251926,223640,255622,292737,217808,276750,296305,255540,293493,280965,317840,293572,275505,249538,"Phe Tyr [ C18 H20 N2 O4, db=67.54, overall=33.77 ]",328.1421,13.873054,
357.3227@13.877501,1,16245,35716,1,1,23118,26228,1,1,60473,28147,33911,30230,1,99980,81974,52364,69784,76243,30628,24212,43558,1,1,1,1,27909,77963,62937,90509,180067,58234,87506,60263,112019,47127,1,,357.3227,13.877501,
294.0996@13.875195,1,220606,146293,161183,148062,166472,136026,36746,203157,114081,148370,118716,122142,96771,89832,81995,124028,122195,107796,117455,132186,102710,120559,104144,111613,116281,127911,100826,129855,133755,119250,143117,130456,164574,114039,121299,109355,,294.0996,13.875195,
1135.623@13.873161,1,56871,197953,1,231890,1,1,56343,80638,269161,1,49963,1,236557,251741,241836,237606,255323,247966,284002,87342,69176,294169,288283,263359,278450,225965,209568,211657,214571,187913,217420,199301,54074,272661,308050,302431,,1135.623,13.873161,
239.1157@13.8723,1,41054,34128,24043,28318,42615,37384,40960,32096,31211,25459,31118,29629,1,20164,1,22757,23124,20972,1,32368,28838,1,25242,1,22979,29073,20155,28201,27130,30378,27453,28007,34423,29828,26701,1,,239.1157,13.8723,
1189.6305@13.875001,1,67890,37237,1,41022,1,1,53508,1,527234,1,1,1,38801,31458,25425,31680,43007,450089,460743,1,1,36223,38834,37380,465145,1,382516,361017,41715,311605,35155,1,1,537786,33270,490254,,1189.6305,13.875001,
Gln His His,1,31421,24285,24662,21871,1,19365,39982,35628,24037,23295,19420,1,1,17395,1,19430,20534,16147,17029,25425,21732,20963,22315,20589,19727,20315,18524,19109,24035,1,20384,17929,29281,18776,26607,20939,"Gln His His [ C17 H24 N8 O5, db=42.13, overall=21.06 ]",420.1898,13.874806,
670.265@13.873167,1,84748,1418212,1244057,49851,1336913,982539,76256,66155,49500,50908,43993,39825,34823,36092,32203,45135,40434,40437,42366,1144844,910329,46914,45432,38432,44469,45535,34008,42785,45311,943731,48739,46487,1247471,49086,51207,44785,,670.265,13.873167,
580.2324@13.874638,1,8547135,6307066,4978423,5883287,5364473,4444328,9357060,6914805,4751154,4334402,3364251,4766515,3723460,3964272,3511711,5238284,4828975,4251778,4473212,4220600,3402010,5372323,4049623,4500151,5090871,4507266,3609327,5043065,5262805,3854798,5887199,5091070,5835287,4854692,5215379,5001458,,580.2324,13.874638,
640.2526@13.874076,1,276202,159177,162897,159127,1,118878,93580,208723,1,151004,1,1,113252,104829,28305,138455,44537,120397,127822,1,1,1,129719,117226,1,1,102424,133259,136571,1,157250,137373,151504,140516,157844,144372,,640.2526,13.874076,
612.2593@13.875,1,4002885,3972067,3698367,4149840,3666742,3168840,3913919,3617842,3735555,3552068,3488628,3624379,3317964,3244389,2962724,3877908,3618382,3324777,3401856,3515601,2680887,4133405,3834688,3798910,3838057,4453675,3023864,3661554,4150320,3047379,4293602,3726676,3988767,2411787,2682342,3739606,,612.2593,13.875,
644.284@13.875222,1,1.38E+07,9466748,8347318,9468106,8601264,6770372,1.34E+07,1.18E+07,8126736,8282476,7672000,6103331,6648692,6992540,6245559,8296054,8389439,7534088,7466417,7805753,6465728,9475596,8784629,7914591,8571481,8932651,6304231,7944789,8948151,7126272,1.03E+07,8755026,9247969,8406767,9917262,8581334,,644.284,13.875222,
1180.491@13.877401,1,163545,1,56038,44210,39910,51312,195591,102827,1,126233,46392,61634,1,29753,57352,1,1,32242,40227,59161,29059,50384,48434,1,1,60337,29822,91455,1,31989,1,40927,59749,57457,1,1,,1180.491,13.877401,
1254.532@13.877502,1,44254,116764,13486,1,14678,1,151978,107917,1,16505,13529,1,52301,1,28624,18843,1,15132,1,1,113653,114242,18479,1,15956,98965,1,84532,13329,62307,121518,1,1,106210,133500,16957,,1254.532,13.877502,
